word,zipf,length,start,direction,path
ANA,3.89,3,D4-L6,OUT,D4-L6 -> D4-L5 -> D4-L4
FRY,3.89,3,A4-L4,S+E+IN,A4-L4 -> B5-L5 -> C6-L6
LIL,3.88,3,A4-L5,S,A4-L5 -> A5-L5 -> A6-L5
LIL,3.88,3,A6-L5,N,A6-L5 -> A5-L5 -> A4-L5
MIA,3.87,3,D1-L1,S+IN,D1-L1 -> D2-L2 -> D3-L3
WOO,3.87,3,C3-L1,S+W+IN,C3-L1 -> B4-L2 -> A5-L3
WOO,3.87,3,A4-L1,E+IN,A4-L1 -> B4-L2 -> C4-L3
CORAL,3.86,5,B1-L4,E,B1-L4 -> C1-L4 -> D1-L4 -> E1-L4 -> F1-L4
MON,3.86,3,C6-L1,IN,C6-L1 -> C6-L2 -> C6-L3
MON,3.86,3,C1-L3,IN,C1-L3 -> C1-L4 -> C1-L5
RIG,3.86,3,D1-L4,S,D1-L4 -> D2-L4 -> D3-L4
RIM,3.85,3,D1-L3,OUT,D1-L3 -> D1-L2 -> D1-L1
RIM,3.85,3,E2-L3,IN,E2-L3 -> E2-L4 -> E2-L5
DEE,3.84,3,C3-L4,N+W+IN,C3-L4 -> B2-L5 -> A1-L6
DEE,3.84,3,C3-L4,W+IN,C3-L4 -> B3-L5 -> A3-L6
GEL,3.84,3,D3-L4,S+E+IN,D3-L4 -> E4-L5 -> F5-L6
GEL,3.84,3,A1-L5,S+OUT,A1-L5 -> A2-L4 -> A3-L3
IRA,3.84,3,C1-L2,E+IN,C1-L2 -> D1-L3 -> E1-L4
IRA,3.84,3,D2-L2,S,D2-L2 -> D3-L2 -> D4-L2
LIZ,3.83,3,A3-L3,IN,A3-L3 -> A3-L4 -> A3-L5
EDEN,3.82,4,E4-L3,IN,E4-L3 -> E4-L4 -> E4-L5 -> E4-L6
TEE,3.82,3,A6-L4,OUT,A6-L4 -> A6-L3 -> A6-L2
TEE,3.82,3,A2-L6,S,A2-L6 -> A3-L6 -> A4-L6
NSW,3.81,3,C6-L3,N+W+OUT,C6-L3 -> B5-L2 -> A4-L1
LIN,3.80,3,B4-L4,IN,B4-L4 -> B4-L5 -> B4-L6
LIN,3.80,3,A5-L4,IN,A5-L4 -> A5-L5 -> A5-L6
LIN,3.80,3,A4-L5,S+E+OUT,A4-L5 -> B5-L4 -> C6-L3
LIN,3.80,3,F4-L6,N+OUT,F4-L6 -> F3-L5 -> F2-L4
OPS,3.80,3,A1-L3,OUT,A1-L3 -> A1-L2 -> A1-L1
HID,3.79,3,E2-L2,S+IN,E2-L2 -> E3-L3 -> E4-L4
INT,3.79,3,C3-L2,S+E+IN,C3-L2 -> D4-L3 -> E5-L4
RES,3.79,3,A2-L5,OUT,A2-L5 -> A2-L4 -> A2-L3
RES,3.79,3,B3-L6,S+E,B3-L6 -> C4-L6 -> D5-L6
SCAR,3.77,4,F5-L1,W,F5-L1 -> E5-L1 -> D5-L1 -> C5-L1
AAA,3.77,3,D5-L1,N+IN,D5-L1 -> D4-L2 -> D3-L3
AAA,3.77,3,D4-L2,S+E,D4-L2 -> E5-L2 -> F6-L2
AAA,3.77,3,F6-L2,N+W,F6-L2 -> E5-L2 -> D4-L2
AAA,3.77,3,D3-L3,S+OUT,D3-L3 -> D4-L2 -> D5-L1
OOH,3.76,3,F2-L1,S+IN,F2-L1 -> F3-L2 -> F4-L3
OOH,3.76,3,F4-L5,OUT,F4-L5 -> F4-L4 -> F4-L3
OOH,3.76,3,F6-L5,N+OUT,F6-L5 -> F5-L4 -> F4-L3
SELFIE,3.75,6,A1-L1,S+IN,A1-L1 -> A2-L2 -> A3-L3 -> A4-L4 -> A5-L5 -> A6-L6
ARK,3.75,3,F2-L3,W,F2-L3 -> E2-L3 -> D2-L3
ROM,3.75,3,F1-L3,W+OUT,F1-L3 -> E1-L2 -> D1-L1
UAE,3.75,3,C2-L3,S+E,C2-L3 -> D3-L3 -> E4-L3
ELI,3.74,3,A3-L2,IN,A3-L2 -> A3-L3 -> A3-L4
ELI,3.74,3,E3-L5,OUT,E3-L5 -> E3-L4 -> E3-L3
MIT,3.74,3,C1-L3,S+E+OUT,C1-L3 -> D2-L2 -> E3-L1
